(' ' :8)
('n' :5)
('s' :4)
('t' :4)
('e' :3)
('g' :3)
('i' :3)
('o' :3)
('a' :2)
('c' :2)
('r' :2)
('%' :1)
('T' :1)
('[' :1)
(']' :1)
('^' :1)
('b' :1)
('d' :1)
('f' :1)
('h' :1)
('l' :1)
('m' :1)
('u' :1)
('x' :1)
('y' :1)
('{' :1)
('}' :1)
('!' :0)
('"' :0)
('#' :0)
('$' :0)
('&' :0)
(''' :0)
('(' :0)
(')' :0)
('*' :0)
('+' :0)
(',' :0)
('-' :0)
('.' :0)
('/' :0)
('0' :0)
('1' :0)
('2' :0)
('3' :0)
('4' :0)
('5' :0)
('6' :0)
('7' :0)
('8' :0)
('9' :0)
(':' :0)
(';' :0)
('<' :0)
('=' :0)
('>' :0)
('?' :0)
('@' :0)
('A' :0)
('B' :0)
('C' :0)
('D' :0)
('E' :0)
('F' :0)
('G' :0)
('H' :0)
('I' :0)
('J' :0)
('K' :0)
('L' :0)
('M' :0)
('N' :0)
('O' :0)
('P' :0)
('Q' :0)
('R' :0)
('S' :0)
('U' :0)
('V' :0)
('W' :0)
('X' :0)
('Y' :0)
('Z' :0)
('\' :0)
('_' :0)
('`' :0)
('j' :0)
('k' :0)
('p' :0)
('q' :0)
('v' :0)
('w' :0)
('z' :0)
('|' :0)
('~' :0)
